Тип,Время,Температура,День недели,Средняя температура,Стандартное отклонение,Количество
Исходные данные,2023-01-17T16:00,0.9,,,,
Исходные данные,2023-01-17T17:00,0.9,,,,
Исходные данные,2023-01-17T18:00,0.4,,,,
Исходные данные,2023-01-17T19:00,0.0,,,,
Исходные данные,2023-01-17T20:00,-0.3,,,,
Исходные данные,2023-01-17T21:00,-0.4,,,,
Исходные данные,2023-01-17T22:00,-0.7,,,,
Исходные данные,2023-01-17T23:00,-0.7,,,,
Исходные данные,2023-01-18T00:00,-0.6,,,,
Исходные данные,2023-01-18T01:00,-0.3,,,,
Исходные данные,2023-01-18T02:00,-0.1,,,,
Исходные данные,2023-01-18T03:00,-0.9,,,,
Исходные данные,2023-01-18T04:00,-0.6,,,,
Исходные данные,2023-01-18T05:00,-0.4,,,,
Исходные данные,2023-01-18T06:00,-0.4,,,,
Исходные данные,2023-01-18T07:00,0.0,,,,
Исходные данные,2023-01-18T08:00,0.2,,,,
Исходные данные,2023-01-18T09:00,0.4,,,,
Исходные данные,2023-01-18T10:00,0.8,,,,
Исходные данные,2023-01-18T11:00,0.9,,,,
Исходные данные,2023-01-18T12:00,1.0,,,,
Исходные данные,2023-01-18T13:00,1.1,,,,
Исходные данные,2023-01-18T14:00,1.1,,,,
Исходные данные,2023-01-18T15:00,0.7,,,,
Исходные данные,2023-01-18T16:00,0.6,,,,
Исходные данные,2023-01-18T17:00,0.3,,,,
Исходные данные,2023-01-18T18:00,0.5,,,,
Исходные данные,2023-01-18T19:00,0.3,,,,
Исходные данные,2023-01-18T20:00,0.2,,,,
Исходные данные,2023-01-18T21:00,0.1,,,,
Исходные данные,2023-01-18T22:00,0.0,,,,
Исходные данные,2023-01-18T23:00,0.3,,,,
Исходные данные,2023-01-19T00:00,0.7,,,,
Исходные данные,2023-01-19T01:00,1.0,,,,
Исходные данные,2023-01-19T02:00,1.1,,,,
Исходные данные,2023-01-19T03:00,0.8,,,,
Исходные данные,2023-01-19T04:00,1.1,,,,
Исходные данные,2023-01-19T05:00,1.4,,,,
Исходные данные,2023-01-19T06:00,1.2,,,,
Исходные данные,2023-01-19T07:00,1.9,,,,
Исходные данные,2023-01-19T08:00,2.0,,,,
Исходные данные,2023-01-19T09:00,2.0,,,,
Исходные данные,2023-01-19T10:00,2.0,,,,
Исходные данные,2023-01-19T11:00,2.0,,,,
Исходные данные,2023-01-19T12:00,2.0,,,,
Исходные данные,2023-01-19T13:00,2.1,,,,
Исходные данные,2023-01-19T14:00,2.0,,,,
Исходные данные,2023-01-19T15:00,1.5,,,,
Исходные данные,2023-01-19T16:00,1.3,,,,
Исходные данные,2023-01-19T17:00,1.3,,,,
Исходные данные,2023-01-19T18:00,1.4,,,,
Исходные данные,2023-01-19T19:00,1.4,,,,
Исходные данные,2023-01-19T20:00,1.4,,,,
Исходные данные,2023-01-19T21:00,1.5,,,,
Исходные данные,2023-01-19T22:00,1.8,,,,
Исходные данные,2023-01-19T23:00,2.0,,,,
Исходные данные,2023-01-20T00:00,2.1,,,,
Исходные данные,2023-01-20T01:00,2.2,,,,
Исходные данные,2023-01-20T02:00,2.5,,,,
Исходные данные,2023-01-20T03:00,1.9,,,,
Исходные данные,2023-01-20T04:00,2.0,,,,
Исходные данные,2023-01-20T05:00,2.6,,,,
Исходные данные,2023-01-20T06:00,2.7,,,,
Исходные данные,2023-01-20T07:00,2.8,,,,
Исходные данные,2023-01-20T08:00,2.7,,,,
Исходные данные,2023-01-20T09:00,2.6,,,,
Исходные данные,2023-01-20T10:00,2.5,,,,
Исходные данные,2023-01-20T11:00,2.5,,,,
Исходные данные,2023-01-20T12:00,2.7,,,,
Исходные данные,2023-01-20T13:00,2.8,,,,
Исходные данные,2023-01-20T14:00,2.8,,,,
Исходные данные,2023-01-20T15:00,2.5,,,,
Исходные данные,2023-01-20T16:00,2.2,,,,
Исходные данные,2023-01-20T17:00,2.0,,,,
Исходные данные,2023-01-20T18:00,2.1,,,,
Исходные данные,2023-01-20T19:00,2.0,,,,
Исходные данные,2023-01-20T20:00,2.0,,,,
Исходные данные,2023-01-20T21:00,2.0,,,,
Исходные данные,2023-01-20T22:00,1.7,,,,
Исходные данные,2023-01-20T23:00,1.3,,,,
Исходные данные,2023-01-21T00:00,0.9,,,,
Исходные данные,2023-01-21T01:00,0.1,,,,
Исходные данные,2023-01-21T02:00,-0.4,,,,
Исходные данные,2023-01-21T03:00,-1.4,,,,
Исходные данные,2023-01-21T04:00,-1.4,,,,
Исходные данные,2023-01-21T05:00,-2.0,,,,
Исходные данные,2023-01-21T06:00,-2.4,,,,
Исходные данные,2023-01-21T07:00,-2.8,,,,
Исходные данные,2023-01-21T08:00,-3.3,,,,
Исходные данные,2023-01-21T09:00,-3.8,,,,
Исходные данные,2023-01-21T10:00,-4.1,,,,
Исходные данные,2023-01-21T11:00,-4.1,,,,
Исходные данные,2023-01-21T12:00,-4.0,,,,
Исходные данные,2023-01-21T13:00,-4.0,,,,
Исходные данные,2023-01-21T14:00,-3.7,,,,
Исходные данные,2023-01-21T15:00,-3.5,,,,
Исходные данные,2023-01-21T16:00,-3.8,,,,
Исходные данные,2023-01-21T17:00,-4.2,,,,
Исходные данные,2023-01-21T18:00,-4.4,,,,
Исходные данные,2023-01-21T19:00,-4.9,,,,
Исходные данные,2023-01-21T20:00,-5.3,,,,
Исходные данные,2023-01-21T21:00,-5.7,,,,
Исходные данные,2023-01-21T22:00,-6.2,,,,
Исходные данные,2023-01-21T23:00,-6.4,,,,
Исходные данные,2023-01-22T00:00,-6.5,,,,
Исходные данные,2023-01-22T01:00,-6.9,,,,
Исходные данные,2023-01-22T02:00,-8.4,,,,
Исходные данные,2023-01-22T03:00,-7.3,,,,
Исходные данные,2023-01-22T04:00,-6.6,,,,
Исходные данные,2023-01-22T05:00,-6.2,,,,
Исходные данные,2023-01-22T06:00,-5.9,,,,
